2019-02-26 17:25:23,69.8*F
2019-02-26 17:30:34,71.6*F
2019-02-26 17:37:06,71.6*F
2019-02-26 17:38:32,71.6*F
2019-02-26 17:38:39,73.4*F
2019-02-26 17:38:46,73.4*F
2019-02-26 17:38:53,73.4*F
2019-02-26 17:39:00,73.4*F
2019-02-26 17:40:24,73.4*F
2019-02-26 17:41:03,73.4*F
2019-02-26 17:41:15,73.4*F
2019-02-26 17:41:27,73.4*F
2019-02-26 17:41:39,73.4*F
2019-02-26 17:41:51,73.4*F
2019-02-26 17:43:45,73.4*F
2019-02-26 17:43:57,73.4*F
2019-02-26 17:44:09,73.4*F
2019-02-26 17:44:21,73.4*F
2019-02-26 17:44:33,73.4*F
2019-02-26 17:44:46,75.2*F
2019-02-26 17:44:58,77.0*F
2019-02-26 17:45:10,77.0*F
2019-02-26 17:45:42,77.0*F
2019-02-26 17:45:51,77.0*F
2019-02-26 17:45:58,77.0*F
2019-02-26 17:46:08,75.2*F
2019-02-26 17:46:15,75.2*F
2019-02-26 17:46:22,53.6*F
2019-02-26 17:46:32,75.2*F
2019-02-26 17:46:39,75.2*F
2019-02-26 17:46:46,75.2*F
2019-02-26 17:48:01,75.2*F
2019-02-26 17:48:08,73.4*F
2019-02-26 17:48:15,73.4*F
2019-02-26 17:48:22,73.4*F
2019-02-26 17:48:29,73.4*F
2019-02-26 17:48:36,73.4*F
2019-02-26 17:48:50,73.4*F
2019-02-26 17:48:57,73.4*F
2019-02-26 17:49:04,73.4*F
2019-02-26 17:49:11,73.4*F
2019-02-26 17:50:20,73.4*F
2019-02-26 17:50:27,73.4*F
2019-02-26 17:50:34,73.4*F
2019-02-26 17:50:41,73.4*F
2019-02-26 17:50:48,73.4*F
2019-02-26 17:50:55,73.4*F
2019-02-26 17:51:02,73.4*F
2019-02-26 18:02:12,73.4*F
2019-02-26 18:02:56,73.4*F
2019-02-26 18:03:04,73.4*F
2019-02-26 18:03:11,73.4*F
2019-02-26 18:03:18,73.4*F
2019-02-26 18:03:25,73.4*F
2019-02-26 18:03:32,73.4*F
2019-02-26 18:03:53,73.4*F
2019-02-26 18:04:01,73.4*F
2019-02-26 18:04:10,73.4*F
2019-02-26 18:04:39,73.4*F
2019-02-26 18:04:46,73.4*F
2019-02-26 18:04:53,73.4*F
2019-02-26 18:05:00,73.4*F
2019-02-26 18:05:07,73.4*F
2019-02-26 18:05:14,73.4*F
2019-02-26 18:05:21,73.4*F
2019-03-23 03:19:37,71.6*F
2019-03-23 03:19:44,71.6*F
2019-03-23 03:19:51,71.6*F
2019-03-23 03:21:03,71.6*F
2019-03-23 03:21:14,71.6*F
2019-03-23 03:21:21,71.6*F
